413226,10,T.C. ZİRAAT BANKASI A.Ş.,VISA,PLATINUM
444676,10,T.C. ZİRAAT BANKASI A.Ş.,VISA,CLASSIC
444677,10,T.C. ZİRAAT BANKASI A.Ş.,VISA,GOLD
444678,10,T.C. ZİRAAT BANKASI A.Ş.,VISA,PLATINUM
453955,10,T.C. ZİRAAT BANKASI A.Ş.,VISA, CLASSIC
453956,10,T.C. ZİRAAT BANKASI A.Ş.,VISA, GOLD
454671,10,T.C. ZİRAAT BANKASI A.Ş.,VISA, CLASSIC
454672,10,T.C. ZİRAAT BANKASI A.Ş.,VISA, CLASSIC
454673,10,T.C. ZİRAAT BANKASI A.Ş.,VISA, BUSINESS
454674,10,T.C. ZİRAAT BANKASI A.Ş.,VISA, GOLD
454894,10,T.C. ZİRAAT BANKASI A.Ş.,VISA, CLASSIC
540130,10,T.C. ZİRAAT BANKASI A.Ş.,MASTERCARD, CLASSIC
540134,10,T.C. ZİRAAT BANKASI A.Ş.,MASTERCARD, GOLD
541001,10,T.C. ZİRAAT BANKASI A.Ş.,MASTERCARD, CLASSIC
541033,10,T.C. ZİRAAT BANKASI A.Ş.,MASTERCARD, GOLD
542374,10,T.C. ZİRAAT BANKASI A.Ş.,MASTERCARD, CLASSIC
547287,10,T.C. ZİRAAT BANKASI A.Ş.,MASTERCARD, BUSINESS
415514,12,T. HALK BANKASI A.Ş.,VISA,PLATINUM
492094,12,T. HALK BANKASI A.Ş.,VISA,GOLD
492095,12,T. HALK BANKASI A.Ş.,VISA,CLASSIC
498852,12,T. HALK BANKASI A.Ş.,VISA,BUSINESS
521378,12,T. HALK BANKASI A.Ş.,MASTERCARD,PLATINUM
540435,12,T. HALK BANKASI A.Ş.,MASTERCARD,GOLD
543081,12,T. HALK BANKASI A.Ş.,MASTERCARD,CLASSIC
552879,12,T. HALK BANKASI A.Ş.,MASTERCARD,BUSINESS
510056,12,T. HALK BANKASI A.Ş.,MASTERCARD,CLASSIC,virtual
402940,15,T. VAKIFLAR BANKASI T.A.O.,VISA,CLASSIC
409084,15,T. VAKIFLAR BANKASI T.A.O.,VISA,CLASSIC
411724,15,T. VAKIFLAR BANKASI T.A.O.,VISA,CLASSIC
411942,15,T. VAKIFLAR BANKASI T.A.O.,VISA,CLASSIC
411943,15,T. VAKIFLAR BANKASI T.A.O.,VISA,CLASSIC
411944,15,T. VAKIFLAR BANKASI T.A.O.,VISA,CLASSIC
411979,15,T. VAKIFLAR BANKASI T.A.O.,VISA,PLATINUM
415792,15,T. VAKIFLAR BANKASI T.A.O.,VISA,CLASSIC
416757,15,T. VAKIFLAR BANKASI T.A.O.,VISA,CLASSIC
428945,15,T. VAKIFLAR BANKASI T.A.O.,VISA,BUSINESS
493840,15,T. VAKIFLAR BANKASI T.A.O.,VISA,CLASSIC
493841,15,T. VAKIFLAR BANKASI T.A.O.,VISA,CLASSIC
